id,title,description,event_type,date,location,organizer,registration_link,domains,image_url,image_urls,created_by,created_at,updated_at
22222222-2222-2222-2222-222222222221,"HackMIT 2025","Join us for the biggest hackathon of the year! Build innovative projects, network with peers, and win amazing prizes. 48-hour coding marathon with workshops and mentorship.","Hackathon",2024-03-15,Cambridge MA,MIT Computer Science Club,https://hackmit.org,"{Web Dev,AI/ML,Mobile Dev,Full Stack}","","{}",00000000-0000-0000-0000-000000000001,2024-02-01T10:00:00Z,2024-02-01T10:00:00Z
22222222-2222-2222-2222-222222222222,"AI/ML Workshop: Introduction to Deep Learning","Learn the fundamentals of deep learning and neural networks. Hands-on session with TensorFlow and PyTorch. Perfect for beginners!","Workshop",2024-03-01,Online,Tech Community,https://mlworkshop.example.com,"{AI/ML,Data Science,Machine Learning}","","{}",00000000-0000-0000-0000-000000000002,2024-02-02T11:00:00Z,2024-02-02T11:00:00Z
22222222-2222-2222-2222-222222222223,"Web Development Bootcamp","Intensive 3-day bootcamp covering React, Node.js, and modern web development practices. Build a full-stack application from scratch.","Workshop",2024-03-20,San Francisco CA,Code Academy,https://webdevbootcamp.example.com,"{Web Dev,Full Stack,React,Node.js}","","{}",00000000-0000-0000-0000-000000000006,2024-02-03T09:00:00Z,2024-02-03T09:00:00Z
22222222-2222-2222-2222-222222222224,"Mobile App Competition","Build the best mobile app and compete for $10,000 in prizes. Teams welcome! Focus on iOS and Android development.","Competition",2024-04-01,Online,Mobile Dev Society,https://mobilecomp.example.com,"{Mobile Dev,iOS,Android,React Native}","","{}",00000000-0000-0000-0000-000000000003,2024-02-04T14:00:00Z,2024-02-04T14:00:00Z
22222222-2222-2222-2222-222222222225,"Cloud Infrastructure Seminar","Learn about cloud computing, containerization, and modern DevOps practices. Hands-on AWS and Docker workshops.","Seminar",2024-03-05,Online,Cloud Tech Group,https://cloudseminar.example.com,"{Cloud Computing,DevOps,AWS,Docker}","","{}",00000000-0000-0000-0000-000000000004,2024-02-05T08:00:00Z,2024-02-05T08:00:00Z
22222222-2222-2222-2222-222222222226,"Data Science Hackathon","Solve real-world data problems using machine learning and analytics. Great for beginners! Work with real datasets.","Hackathon",2024-04-15,New York NY,Data Science Club,https://datasciencehack.example.com,"{Data Science,AI/ML,Analytics,Python}","","{}",00000000-0000-0000-0000-000000000005,2024-02-06T10:00:00Z,2024-02-06T10:00:00Z
22222222-2222-2222-2222-222222222227,"React Native Workshop","Build cross-platform mobile apps with React Native. Learn from experts and build your first app in one day!","Workshop",2024-03-10,Online,Mobile Dev School,https://reactnativeworkshop.example.com,"{Mobile Dev,React Native,JavaScript}","","{}",00000000-0000-0000-0000-000000000003,2024-02-07T12:00:00Z,2024-02-07T12:00:00Z
22222222-2222-2222-2222-222222222228,"Blockchain Development Course","Learn Solidity and build smart contracts on Ethereum. Create your own DeFi application.","Workshop",2024-03-25,Online,Blockchain Academy,https://blockchaincourse.example.com,"{Blockchain,Web3,Solidity,DeFi}","","{}",00000000-0000-0000-0000-000000000011,2024-02-08T09:00:00Z,2024-02-08T09:00:00Z
22222222-2222-2222-2222-222222222229,"IoT Hackathon","Build innovative IoT solutions using Raspberry Pi and sensors. Create smart home automation projects.","Hackathon",2024-04-10,Boston MA,IoT Society,https://iothack.example.com,"{IoT,Embedded Systems,Hardware,Raspberry Pi}","","{}",00000000-0000-0000-0000-000000000012,2024-02-09T11:00:00Z,2024-02-09T11:00:00Z
22222222-2222-2222-2222-222222222230,"Full Stack Development Summit","A comprehensive summit covering frontend, backend, and DevOps. Network with industry professionals.","Conference",2024-05-01,Seattle WA,Tech Summit Org,https://fullstacksummit.example.com,"{Web Dev,Full Stack,Backend,Frontend}","","{}",00000000-0000-0000-0000-000000000006,2024-02-10T13:00:00Z,2024-02-10T13:00:00Z
22222222-2222-2222-2222-222222222231,"Computer Vision Workshop","Introduction to computer vision with OpenCV and TensorFlow. Build image recognition models.","Workshop",2024-03-18,Online,AI Institute,https://cvworkshop.example.com,"{AI/ML,Computer Vision,Deep Learning,Python}","","{}",00000000-0000-0000-0000-000000000017,2024-02-11T10:00:00Z,2024-02-11T10:00:00Z
22222222-2222-2222-2222-222222222232,"DevOps & Microservices Conference","Learn about microservices architecture, containerization, and CI/CD pipelines.","Conference",2024-04-20,Chicago IL,DevOps Community,https://devopsconf.example.com,"{DevOps,Microservices,Cloud Computing,Architecture}","","{}",00000000-0000-0000-0000-000000000018,2024-02-12T14:00:00Z,2024-02-12T14:00:00Z

