id,title,description,tags,required_skills,looking_for,image_url,image_urls,created_by,created_at,updated_at
11111111-1111-1111-1111-111111111111,"E-Commerce Platform","A full-stack e-commerce platform built with React and Node.js. Features include user authentication, product catalog, shopping cart, and payment integration.","{E-commerce,Web Dev,Full Stack,React,Node.js}","{React,Node.js,PostgreSQL,Stripe API,JavaScript}","Looking for a backend developer with payment integration experience and a UI/UX designer.","","{}",00000000-0000-0000-0000-000000000001,2024-02-10T10:00:00Z,2024-02-10T10:00:00Z
11111111-1111-1111-1111-111111111112,"AI Chatbot Assistant","An intelligent chatbot powered by GPT-4 that helps students with course selection and academic planning. Built with Python and Flask.","{AI/ML,NLP,Chatbot,Python,Education}","{Python,Flask,OpenAI API,NLP,Machine Learning}","Need ML engineers and frontend developers to create a web interface.","","{}",00000000-0000-0000-0000-000000000002,2024-02-11T11:30:00Z,2024-02-11T11:30:00Z
11111111-1111-1111-1111-111111111113,"Mobile Fitness App","A React Native mobile app for tracking workouts and nutrition. Features include progress tracking, meal planning, and social sharing.","{Mobile Dev,React Native,Health,Fitness,App Development}","{React Native,Firebase,JavaScript,UI/UX Design}","Looking for mobile developers and a nutritionist consultant for content.","","{}",00000000-0000-0000-0000-000000000003,2024-02-12T09:15:00Z,2024-02-12T09:15:00Z
11111111-1111-1111-1111-111111111114,"DevOps Automation Tool","A CI/CD pipeline automation tool for deploying applications to AWS. Built with Python and Terraform.","{DevOps,Cloud Computing,AWS,Automation,CI/CD}","{Python,Terraform,AWS,Docker,Kubernetes}","Need DevOps engineers and cloud architects to help scale the infrastructure.","","{}",00000000-0000-0000-0000-000000000004,2024-02-13T14:20:00Z,2024-02-13T14:20:00Z
11111111-1111-1111-1111-111111111115,"Data Analytics Dashboard","A real-time data visualization dashboard for business analytics. Built with React and Python backend.","{Data Science,Analytics,Visualization,Dashboard,Python}","{Python,React,PostgreSQL,D3.js,Data Analysis}","Looking for data scientists and frontend developers with visualization experience.","","{}",00000000-0000-0000-0000-000000000005,2024-02-14T08:45:00Z,2024-02-14T08:45:00Z
11111111-1111-1111-1111-111111111116,"Social Media Platform","A decentralized social media platform built with MERN stack. Features include real-time messaging, content sharing, and user profiles.","{Web Dev,Social Media,MERN,Real-time,MongoDB}","{MongoDB,Express,React,Node.js,WebSocket}","Need full-stack developers and a security expert for authentication.","","{}",00000000-0000-0000-0000-000000000006,2024-02-15T12:00:00Z,2024-02-15T12:00:00Z
11111111-1111-1111-1111-111111111117,"UI Component Library","An open-source React component library with beautiful, accessible components. Built with TypeScript and Storybook.","{Web Dev,UI/UX,React,TypeScript,Open Source}","{React,TypeScript,CSS,Storybook,Accessibility}","Looking for UI/UX designers and React developers to contribute components.","","{}",00000000-0000-0000-0000-000000000007,2024-02-16T10:30:00Z,2024-02-16T10:30:00Z
11111111-1111-1111-1111-111111111118,"Blockchain Voting System","A secure blockchain-based voting system for elections. Built with Solidity and Web3.","{Blockchain,Solidity,Web3,Voting,Security}","{Solidity,JavaScript,Web3,Blockchain,Smart Contracts}","Need blockchain developers and security auditors for smart contract review.","","{}",00000000-0000-0000-0000-000000000011,2024-02-17T13:15:00Z,2024-02-17T13:15:00Z
11111111-1111-1111-1111-111111111119,"IoT Home Automation","An IoT system for home automation using Raspberry Pi and sensors. Features include temperature control and security monitoring.","{IoT,Embedded Systems,Hardware,Raspberry Pi,Automation}","{Python,C,Embedded Systems,Raspberry Pi,IoT}","Looking for embedded systems engineers and hardware developers.","","{}",00000000-0000-0000-0000-000000000012,2024-02-18T08:20:00Z,2024-02-18T08:20:00Z
11111111-1111-1111-1111-111111111120,"E-Learning Platform","An online learning platform with video courses, quizzes, and progress tracking. Built with React and Node.js.","{Education,E-learning,Web Dev,React,Node.js}","{React,Node.js,PostgreSQL,Video Streaming,Payment}","Need full-stack developers and content creators for course materials.","","{}",00000000-0000-0000-0000-000000000013,2024-02-19T10:45:00Z,2024-02-19T10:45:00Z
11111111-1111-1111-1111-111111111121,"Cloud Migration Tool","A tool to help companies migrate their infrastructure to AWS. Built with Python and Terraform.","{Cloud Computing,AWS,Migration,DevOps,Automation}","{Python,Terraform,AWS,Cloud Architecture,Infrastructure}","Looking for cloud architects and DevOps engineers with migration experience.","","{}",00000000-0000-0000-0000-000000000014,2024-02-20T12:30:00Z,2024-02-20T12:30:00Z
11111111-1111-1111-1111-111111111122,"Product Management Tool","A project management tool for agile teams. Features include sprint planning, task tracking, and team collaboration.","{Product Management,Agile,Web Dev,React,Node.js}","{React,Node.js,PostgreSQL,Agile,Product Management}","Need product managers and full-stack developers to build features.","","{}",00000000-0000-0000-0000-000000000015,2024-02-21T09:15:00Z,2024-02-21T09:15:00Z
11111111-1111-1111-1111-111111111123,"Computer Vision App","An app that uses computer vision to identify objects in real-time. Built with Python and TensorFlow.","{AI/ML,Computer Vision,Python,TensorFlow,Mobile}","{Python,TensorFlow,OpenCV,Computer Vision,Deep Learning}","Looking for ML engineers and mobile developers to create the app interface.","","{}",00000000-0000-0000-0000-000000000017,2024-02-22T13:45:00Z,2024-02-22T13:45:00Z
11111111-1111-1111-1111-111111111124,"Microservices API","A scalable microservices architecture built with Go and gRPC. Features include service discovery and load balancing.","{Backend,Microservices,Go,Architecture,Distributed Systems}","{Go,Rust,Microservices,Distributed Systems,PostgreSQL}","Need backend engineers with microservices experience and system architects.","","{}",00000000-0000-0000-0000-000000000018,2024-02-23T10:20:00Z,2024-02-23T10:20:00Z
11111111-1111-1111-1111-111111111125,"Performance Monitoring Tool","A web performance monitoring tool that tracks Core Web Vitals and provides optimization recommendations.","{Web Dev,Performance,Monitoring,React,Analytics}","{React,Next.js,TypeScript,Performance,Web Vitals}","Looking for frontend developers with performance optimization experience.","","{}",00000000-0000-0000-0000-000000000019,2024-02-24T14:30:00Z,2024-02-24T14:30:00Z

